;CPI;GFCF;PFC;G;M3;REER;OIL_P;IP;M_P
1980;55.1062686453324;46.8179144776195;56.9400420173392;50.0033712764003;20.8064560433668;78.1196259453385;86.051;52.4171604795288;100.337377272834
1981;58.682836366712;47.4437207117562;57.4883804457822;51.1424583631491;21.5926846527237;76.9107830879654;82.767;52.251160100005664;106.559325157879
1982;62.0014103070142;45.4814095735933;57.6333168170068;51.4669300166109;22.0448782461608;81.6587135775759;75.072;50.1033184625621;106.576059487492
1983;63.830325;47.0741764344855;58.3586017478296;52.8086481379188;23.5498141439272;83.3377779131158;68.355;49.9390119650176;105.355074099859
1984;65.7014833333333;49.0833245055779;59.3037979399677;53.6365226599478;25.0559954733057;80.5659360439266;66.012;51.2585455896275;109.561597574161
1985;67.9585916666666;50.839009544681;60.5703620626645;56.3824996638233;26.9121136128482;79.2980791930393;63.308;54.1483072887089;112.756191441905
1986;68.4684916666667;54.3550221866644;62.2672462517329;58.1924562683739;28.6637381491349;85.3473207968474;32.82;56.213148737232;100.92276847223
1987;69.4546583333333;56.5801027411369;64.1312193445118;59.5350365584629;31.288904720416;88.7469267432551;41.999;56.872068608828;95.4953073544601
1988;70.755175;61.2789706439351;65.5000723404856;62.2537572862828;34.3608395641292;87.1144290044906;34.039;61.330364500963;98.0375965764369
1989;72.9876916666666;64.1425260797702;67.1557520872123;67.710867451854;36.3882124645351;81.6548575215947;41.216;62.238284941000027;105.363445243346
1990;76.9319166666667;67.125255662028;68.2148735585256;70.856564549159;37.1619899090655;87.3658596891619;52.875;65.2144345924014;104.460252971152
1991;81.4398166666667;65.8779919348705;69.4567087141866;73.224027332001;38.1549701246964;87.0974212324058;44.744;65.5532108759982;102.302646438901
1992;84.7275666666666;60.5717574964947;69.7824576905058;73.45630102358;38.9664170265234;85.4951087161027;43.986;64.8756583088045;100.512980309403
1993;87.517325;58.4636376312377;69.5231970623567;73.8128201485144;40.4498172819343;87.0006560416936;38.902;63.6899413162154;100.200447009408
1994;88.263075;60.7709781367878;70.3709912379684;75.6276713249694;42.5324465606144;90.8371142744156;36.855;66.4001515849905;100.127804263312
1995;89.8516583333333;63.6924975619661;70.9920961683357;76.3340566840199;43.4826235184148;96.1805488546924;39.876;67.755256719378;100.387604133756
1996;90.580925;62.8951259092605;72.0507207319244;76.6554857453482;46.4170789753004;92.6979367717111;47.353;67.7551608338326;96.6347059225373
1997;91.05215;65.5208974944092;73.5213421261161;76.8431862588958;48.8395174396785;85.5611526028384;44.743;70.865;98.5778138389742
1998;91.0684833333333;70.8663474265726;75.2413196048328;77.4955309278475;49.4691206588002;87.0495847179491;30.598;73.4075;96.4162127116379
1999;91.8029;72.9271967459224;76.8531879105552;79.1546760998452;49.9627486831341;87.2429768928894;42.038;76.02;94.3147612740528
2000;93.233675;76.4112282155972;78.5830353445741;80.5653121208554;49.1148699602123;85.2050848526003;65.799;82.42;100.642502269991
2001;94.155775;75.3250284200556;80.4478091887312;81.1940978443996;50.4793197825552;86.5516875685196;56.609;81.8175;99.0548974014869
2002;94.760925;76.1170950282596;80.7587767088217;82.7428654102655;52.4463523344246;89.2000719817151;57.809;77.6475;96.2401163187031
2003;95.3657583333333;75.751240077778;81.138514972529;84.1168508010194;56.7534379670163;88.3944733621801;66.833;77.9575;95.3275582329301
2004;96.1314583333333;79.9345811743885;82.6499705147055;85.2431428099062;58.7164617673805;86.8479109030134;87.341;81.0775;96.0905497664391
2005;97.258075;82.5711909715097;83.7401572958777;86.1712310872524;61.085233007336;85.0282435638617;123.644;83.745;97.599712540424
2006;98.2885333333333;86.3739876016725;85.0149683241021;86.4922148449601;62.6359595692372;82.3904884964377;148.898;91.4325;100.689902982393
2007;99.00835;90.7077566136831;86.8246958707261;87.9359102058201;63.9493578096456;78.1584622935802;164.605;100.59;103.823212360762
2008;101.410333333333;91.1037296851796;88.1382204319484;90.3301656547632;65.3262118129296;81.002377378906;223.799;102.7875;107.265540783327
2009;100.923075;84.6917697032949;89.5065561083506;93.5381376413645;68.9702807084606;84.8054800363451;142.307;96.0175;99.2813510600072
2010;101.617666666667;87.7448174775124;91.1833636781249;94.3228682716321;73.3371084743705;88.6503897666231;183.095;100.00;100.00
2011;101.852758333333;90.2277185440397;92.4708786741908;95.6175683844626;78.3886882847635;97.3439402515946;240.639;103.595;99.5472511678045
2012;101.147375;94.5238573393202;94.5056959867337;95.5667986557122;84.5879851508644;93.9092056373747;243.117;105.183962516157;97.5278476464247
2013;100.927558333333;95.5808600876694;96.640978040304;97.2863620273344;92.8677117029877;91.9453843002096;240.959;107.165702283498;96.8379446640316
2014;100.914233333333;97.9291708360886;97.5987250965648;99.3192546152293;98.1319753183072;92.5979399568169;222.818;108.701104265403;95.0844412504491
2015;99.7598666666667;100.00;100.00;100.00;100.00;100.00;117.748;107.138922016372;86.2378727991376
2016;99.3262916666666;102.638596751845;101.634383004014;100.298319148537;102.26858325683;98.9714556253312;100.00;107.397797931926;83.6291771469637
2017;99.8564833333334;106.26971838649;102.806260472828;101.254377628209;106.041142813603;96.933285969488;122.54;113.378724256786;85.9647862019404
2018;100.791475;107.107311268283;103.487302976124;102.063251873863;109.119163685472;93.9085644762791;158.514;119.984523481258;90.0538986704995
2019;101.157233333333;108.069398031935;104.743130952586;102.907539989464;107.2273;95.238151108749;142.13;125.349503662215;87.8548329141214
2020;100.422958333333;104.665249554229;100.0040589675377;106.532050490084;114.1632;98.6830451418971;96.627;121.145001723395;82.8314768235717
